07-57-38.415438: 1539.4653543465, 1549.8325604562, 1560.3225180929, 1541.0716949607, 1550.4468385469, 1560.2234824129, 1541.2419431206, 1550.7330281623, 1560.3813495313
07-57-38.416439: 1539.4634262254, 1549.8325604562, 1560.3225180929, 1541.0720802575, 1550.4450778188, 1560.2218988115, 1541.242910354 , 1550.7347895444, 1560.3805575699
07-57-38.417438: 1539.4661252194, 1549.831387567 , 1560.3239044067, 1541.0701481095, 1550.4472304576, 1560.222888078 , 1541.2392378963, 1550.7332251462, 1560.3833323426
07-57-38.418438: 1539.464389343 , 1549.8319740114, 1560.3241018985, 1541.0711151272, 1550.4460566378, 1560.2242742148, 1541.2415577389, 1550.7345944726, 1560.3829353927
07-57-38.419438: 1539.4640048497, 1549.8329520564, 1560.3256876436, 1541.0726600917, 1550.4454697286, 1560.2244736174, 1541.2421377007, 1550.7338122733, 1560.3841243068
07-57-38.420439: 1539.4638107184, 1549.8319740114, 1560.3217261913, 1541.0713077754, 1550.4450778188, 1560.2224931456, 1541.2417504298, 1550.7328330909, 1560.3801625577
07-57-38.421438: 1539.4640048497, 1549.8319740114, 1560.3243013266, 1541.0701481095, 1550.4456647277, 1560.222888078 , 1541.2415577389, 1550.7334202177, 1560.381548974 
07-57-38.422438: 1539.4638107184, 1549.8321688562, 1560.3231125037, 1541.0705352942, 1550.4458597268, 1560.2230874802, 1541.2405905073, 1550.7334202177, 1560.3835298495
07-57-38.423438: 1539.4634262254, 1549.8321688562, 1560.3233099953, 1541.0715004237, 1550.4470335463, 1560.2252654203, 1541.2409777776, 1550.7351816007, 1560.3797656094
07-57-38.424438: 1539.4653543465, 1549.8309978778, 1560.3239044067, 1541.0713077754, 1550.4452728178, 1560.222888078 , 1541.241363159 , 1550.7332251462, 1560.3833323426
07-57-38.425438: 1539.4645834745, 1549.8319740114, 1560.3250932308, 1541.0716949607, 1550.4485992789, 1560.2232849465, 1541.241363159 , 1550.7328330909, 1560.3813495313
07-57-38.426439: 1539.4647757212, 1549.8331469015, 1560.323507487 , 1541.0720802575, 1550.4476204567, 1560.2236818153, 1541.2417504298, 1550.7343994008, 1560.3823409363
07-57-38.427438: 1539.464967968 , 1549.831387567 , 1560.3258851359, 1541.0711151272, 1550.4456647277, 1560.2238792817, 1541.2409777776, 1550.7338122733, 1560.3811520249
07-57-38.428438: 1539.4653543465, 1549.8325604562, 1560.3229130759, 1541.0711151272, 1550.4441009127, 1560.2234824129, 1541.2403978167, 1550.7316588386, 1560.3809545187
07-57-38.429438: 1539.4640048497, 1549.8309978778, 1560.325290723 , 1541.0720802575, 1550.443514005 , 1560.2244736174, 1541.241363159 , 1550.7330281623, 1560.384519321 
07-57-38.430439: 1539.4628476015, 1549.8319740114, 1560.3233099953, 1541.0711151272, 1550.4444909103, 1560.2240767482, 1541.2400105467, 1550.7322459645, 1560.382538443 
07-57-38.431438: 1539.4645834745, 1549.8343197934, 1560.3229130759, 1541.0726600917, 1550.4452728178, 1560.2226906118, 1541.2403978167, 1550.7340073449, 1560.381548974 
07-57-38.432438: 1539.4640048497, 1549.8290437041, 1560.3239044067, 1541.0693756294, 1550.4446878209, 1560.2230874802, 1541.2392378963, 1550.7334202177, 1560.382538443 
07-57-38.433438: 1539.4651620996, 1549.8321688562, 1560.3248938026, 1541.0705352942, 1550.4478154563, 1560.2240767482, 1541.2400105467, 1550.7322459645, 1560.3823409363
07-57-38.434438: 1539.4641970963, 1549.8311927224, 1560.3243013266, 1541.0715004237, 1550.4450778188, 1560.2234824129, 1541.2402051262, 1550.7342024166, 1560.3829353927
07-57-38.435438: 1539.4640048497, 1549.8311927224, 1560.3244988185, 1541.0722729059, 1550.4433170947, 1560.2224931456, 1541.2409777776, 1550.7345944726, 1560.382538443 
07-57-38.436438: 1539.4647757212, 1549.8319740114, 1560.3229130759, 1541.0716949607, 1550.4466435475, 1560.2224931456, 1541.2419431206, 1550.7332251462, 1560.3835298495
07-57-38.437438: 1539.464967968 , 1549.830801123 , 1560.323507487 , 1541.0715004237, 1550.4437090036, 1560.2234824129, 1541.2431030451, 1550.7343994008, 1560.3829353927
07-57-38.438438: 1539.4632320942, 1549.8306062786, 1560.3225180929, 1541.0703407575, 1550.4456647277, 1560.2226906118, 1541.2402051262, 1550.7332251462, 1560.382737886 
07-57-38.439438: 1539.464967968 , 1549.831387567 , 1560.3248938026, 1541.0718876091, 1550.4458597268, 1560.2244736174, 1541.2405905073, 1550.7328330909, 1560.3833323426
07-57-38.440438: 1539.464967968 , 1549.8321688562, 1560.3229130759, 1541.0711151272, 1550.4448828198, 1560.2224931456, 1541.2411704683, 1550.7334202177, 1560.3813495313
07-57-38.441438: 1539.4645834745, 1549.8339281925, 1560.3239044067, 1541.0703407575, 1550.4464466363, 1560.2234824129, 1541.2411704683, 1550.7328330909, 1560.3833323426
07-57-38.442438: 1539.4640048497, 1549.8323656113, 1560.3231125037, 1541.0718876091, 1550.4468385469, 1560.2222937436, 1541.2405905073, 1550.7324410358, 1560.382737886 
07-57-38.443438: 1539.4636184718, 1549.8296282365, 1560.3244988185, 1541.0713077754, 1550.4448828198, 1560.2242742148, 1541.2431030451, 1550.7334202177, 1560.3833323426
07-57-38.444438: 1539.4645834745, 1549.8319740114, 1560.3243013266, 1541.0713077754, 1550.4458597268, 1560.2226906118, 1541.2411704683, 1550.7336152892, 1560.3841243068
07-57-38.445438: 1539.4645834745, 1549.8315843219, 1560.3227155844, 1541.0705352942, 1550.4450778188, 1560.2226906118, 1541.2411704683, 1550.7316588386, 1560.3817464804
07-57-38.446438: 1539.464389343 , 1549.8327553012, 1560.323507487 , 1541.0718876091, 1550.4441009127, 1560.2220962775, 1541.2403978167, 1550.7343994008, 1560.3821434298
07-57-38.447438: 1539.4634262254, 1549.8311927224, 1560.323507487 , 1541.0707279422, 1550.4464466363, 1560.222888078 , 1541.2409777776, 1550.7342024166, 1560.3847187645
07-57-38.448438: 1539.4638107184, 1549.8333417466, 1560.325290723 , 1541.0711151272, 1550.4454697286, 1560.2248685507, 1541.2403978167, 1550.7343994008, 1560.384519321 
07-57-38.449438: 1539.4640048497, 1549.833538502 , 1560.3229130759, 1541.0722729059, 1550.4450778188, 1560.2232849465, 1541.2409777776, 1550.7342024166, 1560.3829353927
07-57-38.450438: 1539.4663174665, 1549.8317791666, 1560.3239044067, 1541.0713077754, 1550.4470335463, 1560.2236818153, 1541.2419431206, 1550.7332251462, 1560.3813495313
07-57-38.451438: 1539.4645834745, 1549.8315843219, 1560.3233099953, 1541.0701481095, 1550.4460566378, 1560.2238792817, 1541.2411704683, 1550.7343994008, 1560.382538443 
07-57-38.452438: 1539.4640048497, 1549.8327553012, 1560.3244988185, 1541.0724674431, 1550.4454697286, 1560.2236818153, 1541.241363159 , 1550.7316588386, 1560.382538443 
07-57-38.453438: 1539.4638107184, 1549.8327553012, 1560.3244988185, 1541.0713077754, 1550.4470335463, 1560.2238792817, 1541.2403978167, 1550.7318558222, 1560.384519321 
07-57-38.454438: 1539.4657388405, 1549.8311927224, 1560.3239044067, 1541.0715004237, 1550.4433170947, 1560.2240767482, 1541.2409777776, 1550.7359638014, 1560.3817464804
07-57-38.455438: 1539.4667038458, 1549.8329520564, 1560.3233099953, 1541.069760925 , 1550.446251637 , 1560.2218988115, 1541.241363159 , 1550.7347895444, 1560.382538443 
07-57-38.456438: 1539.4647757212, 1549.8306062786, 1560.3233099953, 1541.0713077754, 1550.4444909103, 1560.222888078 , 1541.2411704683, 1550.7322459645, 1560.3839248634
07-57-38.457438: 1539.4653543465, 1549.8331469015, 1560.3260826282, 1541.0709205904, 1550.4478154563, 1560.2254628871, 1541.2411704683, 1550.7322459645, 1560.384519321 
07-57-38.458438: 1539.4657388405, 1549.8319740114, 1560.3243013266, 1541.0705352942, 1550.4460566378, 1560.2234824129, 1541.2405905073, 1550.7338122733, 1560.3821434298
07-57-38.459438: 1539.4651620996, 1549.8311927224, 1560.3243013266, 1541.0720802575, 1550.4458597268, 1560.2226906118, 1541.2423303917, 1550.7328330909, 1560.381548974 
07-57-38.460438: 1539.4647757212, 1549.8311927224, 1560.323507487 , 1541.0705352942, 1550.4458597268, 1560.224671084 , 1541.2398178563, 1550.7342024166, 1560.3829353927
07-57-38.461438: 1539.4638107184, 1549.8306062786, 1560.323507487 , 1541.0730472776, 1550.4415582864, 1560.2244736174, 1541.2405905073, 1550.7328330909, 1560.381548974 
07-57-38.462438: 1539.4663174665, 1549.8311927224, 1560.3248938026, 1541.0730472776, 1550.4423401909, 1560.2232849465, 1541.2402051262, 1550.7347895444, 1560.3835298495
07-57-38.463438: 1539.4624612242, 1549.8304114341, 1560.3229130759, 1541.0705352942, 1550.4433170947, 1560.2232849465, 1541.2417504298, 1550.7312686966, 1560.381548974 
07-57-38.464438: 1539.4630398478, 1549.8317791666, 1560.3229130759, 1541.0722729059, 1550.4460566378, 1560.2242742148, 1541.2388506268, 1550.7338122733, 1560.3829353927
07-57-38.465438: 1539.464967968 , 1549.8321688562, 1560.3239044067, 1541.0722729059, 1550.4458597268, 1560.2252654203, 1541.2423303917, 1550.7347895444, 1560.3813495313
07-57-38.466438: 1539.4657388405, 1549.8300198352, 1560.3233099953, 1541.0709205904, 1550.4431220962, 1560.2222937436, 1541.2403978167, 1550.7347895444, 1560.3833323426
07-57-38.467438: 1539.4636184718, 1549.8300198352, 1560.3243013266, 1541.0722729059, 1550.4437090036, 1560.2232849465, 1541.2409777776, 1550.7363558583, 1560.3813495313
07-57-38.468438: 1539.464389343 , 1549.8306062786, 1560.3248938026, 1541.0711151272, 1550.4450778188, 1560.224671084 , 1541.2417504298, 1550.7342024166, 1560.3833323426
