08-15-24.413325: 1539.145972197 , 1547.084312149 , 1555.5968216204, 1562.2953933464, 1537.9164880202, 1545.9142536636, 1554.3088872716, 1561.6796292522, 1538.3097328293, 1546.4987696316, 1554.5937541636, 1561.8159612079
08-15-24.414324: 1539.1440448758, 1547.0823648957, 1555.5989885884, 1562.2844709087, 1537.9153330974, 1545.9148371473, 1554.3086912996, 1561.7133628134, 1538.3110803032, 1546.498185707 , 1554.5947363058, 1561.8094121365
08-15-24.415324: 1539.145972197 , 1547.0837277821, 1555.5950511005, 1562.3029384001, 1537.9153330974, 1545.9158102547, 1554.3086912996, 1561.6994731457, 1538.3089631141, 1546.5014933508, 1554.595522405 , 1561.8060386879
08-15-24.416324: 1539.1453938117, 1547.0841179944, 1555.5940657694, 1562.3086976913, 1537.9161042998, 1545.9152267702, 1554.3086912996, 1561.6820110359, 1538.3110803032, 1546.500521408 , 1554.5947363058, 1561.8076255066
08-15-24.417324: 1539.1448154269, 1547.0829492615, 1555.5934749563, 1562.2884423336, 1537.9178348053, 1545.9140598027, 1554.3081014624, 1561.7254682259, 1538.3110803032, 1546.5011053343, 1554.5929661442, 1561.8131832776
08-15-24.418324: 1539.143466492 , 1547.0815863764, 1555.5962308052, 1562.2912219549, 1537.9145637769, 1545.9158102547, 1554.3106567863, 1561.6855817854, 1538.3108883445, 1546.4979916996, 1554.5957203714, 1561.8104034172
08-15-24.419324: 1539.1448154269, 1547.0835336277, 1555.5970198419, 1562.2902300638, 1537.9155268384, 1545.9161979775, 1554.3098709753, 1561.7167358617, 1538.3110803032, 1546.4993535566, 1554.5939502075, 1561.8094121365
08-15-24.420324: 1539.1453938117, 1547.0835336277, 1555.5980032523, 1562.2904280537, 1537.9132169975, 1545.9150310085, 1554.3086912996, 1561.7119740295, 1538.3083853577, 1546.5016892611, 1554.5953263606, 1561.8090144607
08-15-24.421324: 1539.1453938117, 1547.084312149 , 1555.5938694731, 1562.3112793894, 1537.9153330974, 1545.9169753243, 1554.3106567863, 1561.7177289644, 1538.3097328293, 1546.5011053343, 1554.5953263606, 1561.8096100046
08-15-24.422324: 1539.145972197 , 1547.0815863764, 1555.5932786601, 1562.3084996968, 1537.9151412375, 1545.9148371473, 1554.3100669477, 1561.6814155893, 1538.3097328293, 1546.50013149  , 1554.5943422956, 1561.8074276391
