12-11-24.457513: 1540.2718321622, 1550.3276017474, 1560.4503520072, 1540.5477129569, 1550.5818625515, 1560.2259197715, 1540.7157215383, 1550.4969684014, 1560.3398123405
12-11-24.458513: 1540.2731830757, 1550.3289703576, 1560.4503520072, 1540.5490643544, 1550.5799064838, 1560.2247310984, 1540.7170751184, 1550.4995112095, 1560.339217917 
12-11-24.459512: 1540.2720246107, 1550.3270149279, 1560.4525305818, 1540.5482923966, 1550.5781454535, 1560.2265141086, 1540.7163011044, 1550.4991211842, 1560.339217917 
12-11-24.460512: 1540.2739547578, 1550.328383537 , 1560.4517385482, 1540.5482923966, 1550.584013658 , 1560.2261191744, 1540.7176546855, 1550.4983392224, 1560.3402073323
12-11-24.461513: 1540.272603843 , 1550.3258412902, 1560.4513435   , 1540.5477129569, 1550.5836235902, 1560.2243361651, 1540.7170751184, 1550.4969684014, 1560.3384259984
12-11-24.462513: 1540.2727962916, 1550.3272118087, 1560.4503520072, 1540.5473260349, 1550.5826445975, 1560.2253254347, 1540.7176546855, 1550.4993161968, 1560.3382265667
12-11-24.463513: 1540.2724113944, 1550.3272118087, 1560.4501544834, 1540.5480998791, 1550.5810805062, 1560.2249305011, 1540.7170751184, 1550.4991211842, 1560.3366427324
12-11-24.464512: 1540.2720246107, 1550.3268199586, 1560.4511440394, 1540.5475204396, 1550.5806885279, 1560.2253254347, 1540.7163011044, 1550.4985342348, 1560.339217917 
12-11-24.465513: 1540.2727962916, 1550.32975406  , 1560.4529275672, 1540.5469410005, 1550.579514506 , 1560.2261191744, 1540.7176546855, 1550.4989242598, 1560.3384259984
12-11-24.466512: 1540.2714453788, 1550.328383537 , 1560.4513435   , 1540.5475204396, 1550.5851876867, 1560.226910979 , 1540.7157215383, 1550.4981422982, 1560.3406042605
12-11-24.467512: 1540.2724113944, 1550.3264281088, 1560.4503520072, 1540.5473260349, 1550.5804934948, 1560.2253254347, 1540.7170751184, 1550.4975553496, 1560.3386234939
12-11-24.468513: 1540.2733755245, 1550.328383537 , 1560.4517385482, 1540.5479054743, 1550.5857747017, 1560.2253254347, 1540.7170751184, 1550.4975553496, 1560.3386234939
12-11-24.469513: 1540.2722170591, 1550.3270149279, 1560.4521355332, 1540.5488718367, 1550.5830365769, 1560.2249305011, 1540.7170751184, 1550.4993161968, 1560.3396129084
12-11-24.470513: 1540.2710604823, 1550.328383537 , 1560.4533245527, 1540.5471335177, 1550.5812755395, 1560.2263166415, 1540.7163011044, 1550.4987292473, 1560.3398123405
12-11-24.471512: 1540.2737623089, 1550.327406778 , 1560.4501544834, 1540.5480998791, 1550.5838186241, 1560.2243361651, 1540.7182323652, 1550.4985342348, 1560.3372371539
12-11-24.472512: 1540.2724113944, 1550.3268199586, 1560.4511440394, 1540.5480998791, 1550.5832316106, 1560.2267115758, 1540.7163011044, 1550.4965783774, 1560.3388209895
12-11-24.473512: 1540.2720246107, 1550.3268199586, 1560.4515410241, 1540.5477129569, 1550.584013658 , 1560.2249305011, 1540.7163011044, 1550.4981422982, 1560.3388209895
12-11-24.474512: 1540.2710604823, 1550.3270149279, 1560.4497574995, 1540.5484849141, 1550.5820575849, 1560.2253254347, 1540.7157215383, 1550.4963833655, 1560.3378315759
12-11-24.475513: 1540.2722170591, 1550.3276017474, 1560.4507489915, 1540.5477129569, 1550.5842106041, 1560.2255248375, 1540.7176546855, 1550.4987292473, 1560.3382265667
12-11-24.476512: 1540.2714453788, 1550.3276017474, 1560.4491629922, 1540.5469410005, 1550.5816675181, 1560.2241386985, 1540.7157215383, 1550.4979472859, 1560.3386234939
12-11-24.477513: 1540.2718321622, 1550.3293622087, 1560.4509465154, 1540.5480998791, 1550.5844056381, 1560.2247310984, 1540.7170751184, 1550.4983392224, 1560.3388209895
12-11-24.478513: 1540.2733755245, 1550.3285804181, 1560.4513435   , 1540.5492568721, 1550.5836235902, 1560.2251279679, 1540.7176546855, 1550.4969684014, 1560.3388209895
12-11-24.479512: 1540.272603843 , 1550.3262331397, 1560.4531250917, 1540.5473260349, 1550.5826445975, 1560.2279002519, 1540.7170751184, 1550.4971653253, 1560.341198685 
12-11-24.480512: 1540.2716397139, 1550.3276017474, 1560.4519360724, 1540.5480998791, 1550.5816675181, 1560.2259197715, 1540.7170751184, 1550.4979472859, 1560.3382265667
