19-05-50.186642: 1540.2331076117, 1550.1908007123, 1560.4575577869, 1539.5578532925, 1549.8397296369, 1559.6898378471, 1541.6416631267, 1551.3965203127, 1560.8237632977
19-05-50.187641: 1540.2363885103, 1550.1921690809, 1560.4621144457, 1539.5576591375, 1549.8409006285, 1559.6894412499, 1541.6432092353, 1551.396129836 , 1560.8227732691
19-05-50.188641: 1540.2340716926, 1550.1892355003, 1560.4607278863, 1539.5561172092, 1549.8414870801, 1559.6900351785, 1541.6422433896, 1551.3967174652, 1560.8209888958
19-05-50.189641: 1540.2344584573, 1550.1909956473, 1560.4640955258, 1539.5566959032, 1549.8426599846, 1559.6886499908, 1541.6406953928, 1551.3957374455, 1560.8237632977
19-05-50.190641: 1540.2333000504, 1550.1943191063, 1560.4597383181, 1539.5572745977, 1549.8412922329, 1559.6888492565, 1541.6410828642, 1551.3941717134, 1560.8203941056
19-05-50.191641: 1540.230019165 , 1550.1929507339, 1560.4589443407, 1539.5561172092, 1549.8399244837, 1559.6890465876, 1541.6414684457, 1551.3978908108, 1560.8237632977
19-05-50.192641: 1540.2261590957, 1550.1949058254, 1560.4637004713, 1539.556888173 , 1549.8397296369, 1559.6886499908, 1541.6412756549, 1551.3982832024, 1560.8243580905
19-05-50.193641: 1540.230211603 , 1550.1892355003, 1560.4595388554, 1539.5574668676, 1549.8407057815, 1559.690431776 , 1541.6406953928, 1551.3980879636, 1560.8217813043
19-05-50.194641: 1540.2311775669, 1550.1919741455, 1560.4637004713, 1539.556888173 , 1549.8405109345, 1559.6892439187, 1541.6414684457, 1551.3963250743, 1560.8217813043
19-05-50.195641: 1540.2317567685, 1550.1913874287, 1560.4625114359, 1539.5561172092, 1549.8395328799, 1559.6896405158, 1541.640115131 , 1551.396129836 , 1560.8227732691
19-05-50.196641: 1540.2325284091, 1550.1900190614, 1560.4599358444, 1539.5565017485, 1549.8391431867, 1559.6876614016, 1541.6408900735, 1551.396129836 , 1560.8237632977
