14-08-07.192244: 1538.2492890072, 1546.3209459856, 1554.1929361624, 1562.0672631675, 1538.1890324549, 1546.152490379 , 1554.0893718984, 1562.0704398105, 1538.1106883084, 1546.1538516276, 1553.9970218512, 1561.9618532952
14-08-07.193243: 1538.2485174707, 1546.3228913226, 1554.1892017311, 1562.0660716871, 1538.1888405266, 1546.1538516276, 1554.0881925573, 1562.0700420017, 1538.1091473956, 1546.1557965442, 1553.9972177447, 1561.9576836847
14-08-07.194243: 1538.2485174707, 1546.3228913226, 1554.1892017311, 1562.0650781413, 1538.1882628605, 1546.1542394698, 1554.0885863111, 1562.0696441932, 1538.1085716708, 1546.1548231347, 1553.9983969477, 1561.9582793419
14-08-07.195243: 1538.2508283189, 1546.3240589075, 1554.1901852833, 1562.0670652341, 1538.1890324549, 1546.1530740425, 1554.0897656527, 1562.0704398105, 1538.1099187923, 1546.1550189572, 1553.9985928415, 1561.9602642228
14-08-07.196243: 1538.249672894 , 1546.3217237395, 1554.1909709733, 1562.0682547755, 1538.1878771227, 1546.1552128786, 1554.0897656527, 1562.0716312976, 1538.1114578251, 1546.156574132 , 1554.0005575441, 1561.9586770938
14-08-07.197243: 1538.249672894 , 1546.3234751148, 1554.192346413 , 1562.0662696202, 1538.1886485984, 1546.1532679634, 1554.0901574865, 1562.0700420017, 1538.1101107009, 1546.1552128786, 1553.9991824438, 1561.956692217 
14-08-07.198243: 1538.249672894 , 1546.3223075308, 1554.1905771677, 1562.0660716871, 1538.1886485984, 1546.1552128786, 1554.0878007245, 1562.0700420017, 1538.1106883084, 1546.156574132 , 1553.9982010539, 1561.9568901224
14-08-07.199243: 1538.2521756897, 1546.3230852861, 1554.1892017311, 1562.0682547755, 1538.1896101216, 1546.1538516276, 1554.0891759817, 1562.0722251012, 1538.1103026095, 1546.1557965442, 1553.997807346 , 1561.9586770938
14-08-07.200243: 1538.2506363752, 1546.3236690785, 1554.1937218552, 1562.0650781413, 1538.1890324549, 1546.1552128786, 1554.0915346685, 1562.0696441932, 1538.1095330939, 1546.1571577986, 1553.9991824438, 1561.9576836847
14-08-07.201243: 1538.2502506062, 1546.3217237395, 1554.189595536 , 1562.0670652341, 1538.1892243832, 1546.1561843874, 1554.0883903945, 1562.0710355538, 1538.1093411855, 1546.1567680537, 1553.9972177447, 1561.9576836847
14-08-07.202243: 1538.2508283189, 1546.3205561581, 1554.1921504704, 1562.0670652341, 1538.1892243832, 1546.1544352922, 1554.0895678151, 1562.0702399358, 1538.1093411855, 1546.1563802102, 1553.9976114524, 1561.9592727519
14-08-07.203243: 1538.2490951821, 1546.3199723681, 1554.1909709733, 1562.0656738805, 1538.1874932668, 1546.152490379 , 1554.0874069712, 1562.0696441932, 1538.1076083675, 1546.1544352922, 1553.997807346 , 1561.956692217 
14-08-07.204243: 1538.249672894 , 1546.3228913226, 1554.1890057892, 1562.0678589083, 1538.1882628605, 1546.1550189572, 1554.0868173019, 1562.0710355538, 1538.1097250024, 1546.1563802102, 1553.9970218512, 1561.9582793419
14-08-07.205243: 1538.2500586627, 1546.3236690785, 1554.1892017311, 1562.0672631675, 1538.1880709324, 1546.1561843874, 1554.0870151388, 1562.0712334882, 1538.1093411855, 1546.1561843874, 1553.9972177447, 1561.9582793419
14-08-07.206243: 1538.2508283189, 1546.3217237395, 1554.1931321053, 1562.0654759476, 1538.1878771227, 1546.1540455486, 1554.0903553242, 1562.0686525834, 1538.1093411855, 1546.1554068   , 1553.9982010539, 1561.9576836847
14-08-07.207243: 1538.2483255276, 1546.3209459856, 1554.1905771677, 1562.0668653603, 1538.1886485984, 1546.1521006364, 1554.0891759817, 1562.0706377447, 1538.108763579 , 1546.1534618844, 1554.0009512534, 1561.9628447694
14-08-07.208243: 1538.2483255276, 1546.3217237395, 1554.1903812255, 1562.0682547755, 1538.1880709324, 1546.1538516276, 1554.0901574865, 1562.0720271666, 1538.1089554873, 1546.1557965442, 1553.9997720466, 1561.9606619756
14-08-07.209243: 1538.2508264371, 1546.3215278747, 1554.1933280482, 1562.0668634198, 1538.1882609788, 1546.1530721413, 1554.0917286651, 1562.0722231607, 1538.1095312124, 1546.154433391 , 1553.9978054255, 1561.9602622825
14-08-07.210243: 1538.2512122064, 1546.3223056292, 1554.1890038682, 1562.0678569678, 1538.1872975757, 1546.1536539042, 1554.0876009667, 1562.0710336133, 1538.1097231209, 1546.1556007215, 1553.9972158242, 1561.9602622825
