13-39-08.481240: 1540.3316991495, 1550.2322063994, 1560.4646435674, 1539.9729215876, 1550.2799159853, 1560.0348454474, 1541.1622147738, 1550.9419089327, 1560.5016924609
13-39-08.482240: 1540.3363314924, 1550.237288376 , 1560.4634545306, 1539.9736948548, 1550.2810895535, 1560.0340538378, 1541.161827543 , 1550.9424962179, 1560.5009003774
13-39-08.483240: 1540.3357522122, 1550.2359199278, 1560.4612759255, 1539.9719578336, 1550.2799159853, 1560.0342512562, 1541.161054971 , 1550.9413216481, 1560.5022870082
13-39-08.484240: 1540.3324708903, 1550.2347483392, 1560.4642485126, 1539.9731158473, 1550.2810895535, 1560.0334596472, 1541.1608623004, 1550.9424962179, 1560.5018919343
13-39-08.485240: 1540.3328577044, 1550.2329880928, 1560.46444604  , 1539.9723444666, 1550.2791342446, 1560.0326680389, 1541.1597024996, 1550.9401470801, 1560.5026840188
13-39-08.486240: 1540.3353672835, 1550.2322063994, 1560.4652380865, 1539.9729215876, 1550.2791342446, 1560.0330628752, 1541.1608623004, 1550.9430835034, 1560.501097914 
13-39-08.487240: 1540.3351729324, 1550.2339647328, 1560.461870442 , 1539.9736948548, 1550.2810895535, 1560.0336570655, 1541.1608623004, 1550.9422991808, 1560.5001082947
13-39-08.488240: 1540.3357522122, 1550.2302493026, 1560.4652380865, 1539.9742738628, 1550.2785474618, 1560.0328654571, 1541.1620221029, 1550.9407343638, 1560.5022870082
13-39-08.489240: 1540.3334369824, 1550.2359199278, 1560.4628619494, 1539.9742738628, 1550.2810895535, 1560.0328654571, 1541.1612495306, 1550.9419089327, 1560.5005053042
13-39-08.490240: 1540.3338219101, 1550.2341615899, 1560.4616729153, 1539.9750452454, 1550.2791342446, 1560.0340538378, 1541.1608623004, 1550.9411246113, 1560.4999107583
13-39-08.491240: 1540.3351729324, 1550.2341615899, 1560.4620679688, 1539.9738872288, 1550.2799159853, 1560.0332622289, 1541.1612495306, 1550.9432786277, 1560.5003058311
13-39-08.492240: 1540.3324708903, 1550.2327912359, 1560.4642485126, 1539.9736948548, 1550.2785474618, 1560.0330628752, 1541.1614422014, 1550.9407343638, 1560.4991167399
13-39-08.493239: 1540.3324708903, 1550.2368984827, 1560.4660301338, 1539.9733082211, 1550.2791342446, 1560.0350428661, 1541.1624074448, 1550.9419089327, 1560.5009003774
13-39-08.494240: 1540.3305405964, 1550.2327912359, 1560.4640490488, 1539.9729215876, 1550.2805027692, 1560.0342512562, 1541.1614422014, 1550.9417118958, 1560.5016924609
13-39-08.495239: 1540.3316991495, 1550.2322063994, 1560.4628619494, 1539.9740796028, 1550.2785474618, 1560.0348454474, 1541.1606696298, 1550.9397549201, 1560.5005053042
13-39-08.496240: 1540.3367183085, 1550.2329880928, 1560.4620679688, 1539.9736948548, 1550.2777657225, 1560.0328654571, 1541.161827543 , 1550.9409294875, 1560.5022870082
13-39-08.497240: 1540.3376825191, 1550.2329880928, 1560.4650405589, 1539.9717654601, 1550.2785474618, 1560.0330628752, 1541.1612495306, 1550.9424962179, 1560.5020894712
13-39-08.498240: 1540.3315047993, 1550.2341615899, 1560.4622674321, 1539.9742738628, 1550.2791342446, 1560.0326680389, 1541.1606696298, 1550.9413216481, 1560.5012973873
13-39-08.499239: 1540.3363314924, 1550.2349432853, 1560.4606814095, 1539.9731158473, 1550.2791342446, 1560.0336570655, 1541.162987347 , 1550.9393646734, 1560.5009003774
13-39-08.500239: 1540.3340143741, 1550.2310329052, 1560.4620679688, 1539.9715712007, 1550.2785474618, 1560.0334596472, 1541.1616348722, 1550.9417118958, 1560.5009003774
13-39-08.501240: 1540.3338219101, 1550.2302493026, 1560.4614734521, 1539.9736948548, 1550.2779606794, 1560.0330628752, 1541.1602823998, 1550.9401470801, 1560.5007028408
13-39-08.502239: 1540.3367183085, 1550.2359199278, 1560.4632570035, 1539.9731158473, 1550.2805027692, 1560.0324686854, 1541.1600897293, 1550.943473752 , 1560.5005053042
