19-14-31.622746: 1540.3087020079, 1550.3489186982, 1560.5099890513, 1540.4629514773, 1550.5135962232, 1560.1108591995, 1540.6942873388, 1550.4791728018, 1560.3427844649
19-14-31.623746: 1540.3112115083, 1550.3520478588, 1560.5135544432, 1540.464882103 , 1550.5081204932, 1560.1124425755, 1540.6948650009, 1550.480149752 , 1560.344765242 
19-14-31.624746: 1540.3096680703, 1550.3477469389, 1560.5117727136, 1540.4627589812, 1550.5223987698, 1560.1142253291, 1540.6942873388, 1550.4783889483, 1560.3425869683
19-14-31.625746: 1540.3131417537, 1550.3471601041, 1560.5099890513, 1540.4625645979, 1550.5155521236, 1560.1128393879, 1540.6935133476, 1550.4770200743, 1560.3441708147
19-14-31.626746: 1540.3073510321, 1550.3545901916, 1560.5145460163, 1540.4612133521, 1550.5126192308, 1560.1128393879, 1540.6931282402, 1550.4799547442, 1560.344765242 
19-14-31.627746: 1540.3088944655, 1550.3479419134, 1560.508997484 , 1540.4629514773, 1550.5177049581, 1560.1122451373, 1540.6942873388, 1550.479562817 , 1560.3431813944
19-14-31.628746: 1540.3139134759, 1550.3479419134, 1560.5101865902, 1540.4637233496, 1550.5110533689, 1560.1122451373, 1540.6942873388, 1550.4752592777, 1560.3437758209
19-14-31.629746: 1540.3063849726, 1550.3498973959, 1560.5127623477, 1540.4606339779, 1550.5087074498, 1560.1130368263, 1540.6925486915, 1550.4785858675, 1560.3441708147
19-14-31.630746: 1540.3110190501, 1550.3483318626, 1560.5082053931, 1540.4635308532, 1550.5114453121, 1560.1114534491, 1540.6956389934, 1550.4793678094, 1560.3425869683
19-14-31.631746: 1540.307930291 , 1550.3508741832, 1560.5101865902, 1540.4617927268, 1550.515944069 , 1560.1122451373, 1540.6942873388, 1550.479562817 , 1560.3417950463
19-14-31.632746: 1540.3139134759, 1550.3532215362, 1560.5052326385, 1540.4631439735, 1550.5081204932, 1560.1120476991, 1540.6937077892, 1550.4785858675, 1560.3421900391
19-14-31.633746: 1540.3115983118, 1550.3498973959, 1560.5147435564, 1540.4629514773, 1550.5098794525, 1560.1128393879, 1540.6937077892, 1550.4797578247, 1560.3439733178
19-14-31.634746: 1540.3067717736, 1550.3530265604, 1560.5099890513, 1540.4617927268, 1550.5114453121, 1560.1128393879, 1540.6942873388, 1550.4774120003, 1560.344765242 
19-14-31.635746: 1540.3148795448, 1550.3522447459, 1560.5082053931, 1540.4623721018, 1550.5137931514, 1560.1118483252, 1540.6942873388, 1550.4791728018, 1560.3441708147
19-14-31.636746: 1540.3171966056, 1550.3522447459, 1560.5105836049, 1540.4635308532, 1550.5149651618, 1560.1118483252, 1540.6956389934, 1550.4817155515, 1560.3439733178
19-14-31.637746: 1540.3058057149, 1550.3483318626, 1560.511178159 , 1540.4616002309, 1550.5169210656, 1560.1126419495, 1540.6937077892, 1550.4778020146, 1560.3435763879
19-14-31.638746: 1540.3087020079, 1550.3497024208, 1560.507413303 , 1540.4627589812, 1550.513401207 , 1560.1122451373, 1540.6925486915, 1550.4774120003, 1560.3429838977
19-14-31.639746: 1540.3119832285, 1550.3483318626, 1560.5105836049, 1540.4631439735, 1550.5106633379, 1560.1112540754, 1540.6931282402, 1550.4787808749, 1560.3437758209
19-14-31.640746: 1540.3088944655, 1550.3452046285, 1560.5105836049, 1540.4616002309, 1550.5135962232, 1560.1118483252, 1540.6942873388, 1550.4783889483, 1560.3437758209
19-14-31.641746: 1540.3108247051, 1550.3514610208, 1560.5117727136, 1540.4631439735, 1550.5085105229, 1560.1128393879, 1540.6956389934, 1550.4789758824, 1560.3431813944
19-14-31.642746: 1540.3083152059, 1550.35107107  , 1560.5109786832, 1540.4635308532, 1550.5155521236, 1560.1120476991, 1540.6948650009, 1550.4783889483, 1560.3455591032
19-14-31.643746: 1540.3102473309, 1550.3536133996, 1560.5109786832, 1540.4616002309, 1550.5173130117, 1560.1128393879, 1540.6931282402, 1550.480149752 , 1560.3445677449
19-14-31.644746: 1540.312949295 , 1550.3518528833, 1560.5101865902, 1540.4629514773, 1550.5110533689, 1560.1136310775, 1540.6937077892, 1550.4803447598, 1560.344765242 
19-14-31.645746: 1540.3135285581, 1550.3469632182, 1560.5103841292, 1540.4608283608, 1550.5128142468, 1560.1116508871, 1540.6931282402, 1550.4789758824, 1560.3437758209
19-14-31.646746: 1540.3098605281, 1550.3545901916, 1560.508997484 , 1540.4627589812, 1550.5169210656, 1560.1116508871, 1540.6950594429, 1550.4791728018, 1560.3431813944
19-14-31.647746: 1540.3096680703, 1550.3483318626, 1560.5123653319, 1540.4616002309, 1550.512422303 , 1560.1136310775, 1540.6937077892, 1550.4791728018, 1560.3437758209
19-14-31.648746: 1540.3088944655, 1550.3485287488, 1560.5135544432, 1540.4629514773, 1550.5147701452, 1560.1136310775, 1540.6923542502, 1550.479562817 , 1560.3441708147
19-14-31.649746: 1540.312949295 , 1550.3461814099, 1560.5117727136, 1540.4631439735, 1550.5151620903, 1560.1102649505, 1540.6944798928, 1550.4768250673, 1560.3425869683
19-14-31.650746: 1540.3092812678, 1550.3522447459, 1560.5127623477, 1540.4623721018, 1550.514183184 , 1560.1120476991, 1540.6950594429, 1550.4797578247, 1560.3437758209
19-14-31.651746: 1540.3110190501, 1550.3514610208, 1560.5097915124, 1540.4629514773, 1550.5116403278, 1560.1138285161, 1540.6942873388, 1550.479562817 , 1560.3451621725
