08-13-17.840672: 1539.01338074  , 1546.9569705838, 1555.4523258122, 1562.2251018719, 1538.0308076237, 1546.0040944351, 1554.4197577438, 1561.7562301242, 1538.3291829787, 1546.5373039229, 1554.6263980855, 1561.8189408984
08-13-17.841672: 1539.0129945883, 1546.9532708448, 1555.4533109637, 1562.2366174081, 1538.0311914014, 1546.0042883186, 1554.4140583907, 1561.7607943706, 1538.3305304867, 1546.53652405  , 1554.6250218774, 1561.8201320018
08-13-17.842672: 1539.0118380181, 1546.9561902876, 1555.4554756077, 1562.2310585641, 1538.0308076237, 1546.003510884 , 1554.4154342253, 1561.7623810974, 1538.3305304867, 1546.5376919575, 1554.6238417232, 1561.8181474771
08-13-17.843672: 1539.0145354289, 1546.9567745581, 1555.4521295517, 1562.2354276103, 1538.0302300762, 1546.0052615386, 1554.4168100623, 1561.7526571118, 1538.3311082597, 1546.5363300329, 1554.6246278518, 1561.8167585068
08-13-17.844671: 1539.0118380181, 1546.9556060175, 1555.4566570248, 1562.2304626987, 1538.0296525292, 1546.0046779866, 1554.4172039826, 1561.7445218775, 1538.3311082597, 1546.5371080035, 1554.6265960597, 1561.8151716694
08-13-17.845672: 1539.0129945883, 1546.9565804356, 1555.4525239969, 1562.2185493688, 1538.0319608386, 1546.0046779866, 1554.4177919811, 1561.7447197292, 1538.3291829787, 1546.5373039229, 1554.6244318001, 1561.8177517367
08-13-17.846671: 1539.0129945883, 1546.9569705838, 1555.4507518813, 1562.2203349981, 1538.0311914014, 1546.0027334502, 1554.417399982 , 1561.7586121415, 1538.3291829787, 1546.53652405  , 1554.6252179292, 1561.8159650877
08-13-17.847672: 1539.0129945883, 1546.9556060175, 1555.4558700546, 1562.2199390538, 1538.0298444177, 1546.0042883186, 1554.417399982 , 1561.7542457619, 1538.328027436 , 1546.5380818944, 1554.6240396968, 1561.8159650877
08-13-17.848671: 1539.0128024544, 1546.9559961652, 1555.4546886387, 1562.2471432186, 1538.0296525292, 1546.003510884 , 1554.417399982 , 1561.7627787495, 1538.3313002234, 1546.5384699294, 1554.6252179292, 1561.8167585068
08-13-17.849671: 1539.0145354289, 1546.9552177732, 1555.4566570248, 1562.2451576086, 1538.0309995125, 1546.002539567 , 1554.4164161423, 1561.7504749055, 1538.3299527141, 1546.5351621275, 1554.6244318001, 1561.8161629574
08-13-17.850672: 1539.0120301518, 1546.9550217479, 1555.4533109637, 1562.2256977331, 1538.0298444177, 1546.0039005516, 1554.4189718224, 1561.745315224 , 1538.3305304867, 1546.5359400969, 1554.6248258256, 1561.8169563767
08-13-17.851671: 1539.0128024544, 1546.9559961652, 1555.4505556212, 1562.2252998453, 1538.0304219649, 1546.0040944351, 1554.4181859018, 1561.7478950605, 1538.328027436 , 1546.537887877 , 1554.6246278518, 1561.8177517367
08-13-17.852671: 1539.0131867223, 1546.9563863131, 1555.4539016704, 1562.2368173253, 1538.0308076237, 1546.0033170007, 1554.4172039826, 1561.7465062151, 1538.3305304867, 1546.5359400969, 1554.6234496203, 1561.8175519267
08-13-17.853672: 1539.0122241692, 1546.9558020429, 1555.4556737932, 1562.2342358734, 1538.0296525292, 1546.0046779866, 1554.4187758226, 1561.7558324754, 1538.3299527141, 1546.5380818944, 1554.6265960597, 1561.8191407088
08-13-17.854671: 1539.0128024544, 1546.9565804356, 1555.4521295517, 1562.2209308557, 1538.0304219649, 1546.003510884 , 1554.4179899022, 1561.7580166365, 1538.3311082597, 1546.5361360159, 1554.6256119551, 1561.8167585068
08-13-17.855672: 1539.0141511603, 1546.957358829 , 1555.4537034854, 1562.2380090662, 1538.0323464982, 1546.0031231174, 1554.417399982 , 1561.7552369725, 1538.3305304867, 1546.5367199692, 1554.6246278518, 1561.8167585068
08-13-17.856671: 1539.01338074  , 1546.9558020429, 1555.4540979314, 1562.2316544299, 1538.0300363063, 1546.0023437831, 1554.4170060617, 1561.755634621 , 1538.3291829787, 1546.5376919575, 1554.627774296 , 1561.8175519267
08-13-17.857671: 1539.0135728741, 1546.9538551131, 1555.453114703 , 1562.2106053089, 1538.029266871 , 1546.0040944351, 1554.4164161423, 1561.7506727586, 1538.3286052071, 1546.5373039229, 1554.6289544561, 1561.8159650877
08-13-17.858671: 1539.01338074  , 1546.9554118953, 1555.4550830852, 1562.2322502962, 1538.0304219649, 1546.0060389749, 1554.4168100623, 1561.7486884104, 1538.3299527141, 1546.53652405  , 1554.6265960597, 1561.8151716694
08-13-17.859671: 1539.01338074  , 1546.9550217479, 1555.4558700546, 1562.222320545 , 1538.0331159366, 1546.0050676548, 1554.4162201431, 1561.7564279788, 1538.3305304867, 1546.5371080035, 1554.6248258256, 1561.8177517367
08-13-17.860671: 1539.0122241692, 1546.9546335038, 1555.4517351067, 1562.2380090662, 1538.029266871 , 1546.0033170007, 1554.417399982 , 1561.7546414701, 1538.3299527141, 1546.5380818944, 1554.6252179292, 1561.8173540566
08-13-17.861671: 1539.0135728741, 1546.9546335038, 1555.4562625776, 1562.2326462466, 1538.0288830943, 1546.0029273333, 1554.4162201431, 1561.7506727586, 1538.3299527141, 1546.5371080035, 1554.6262020333, 1561.815369539 
08-13-17.862671: 1539.0126084368, 1546.9563863131, 1555.453114703 , 1562.224506011 , 1538.0311914014, 1546.0042883186, 1554.4175959815, 1561.7645652768, 1538.3305304867, 1546.5371080035, 1554.626792112 , 1561.8171561866
08-13-17.863671: 1539.0135728741, 1546.9548276258, 1555.4558700546, 1562.2455535656, 1538.0304219649, 1546.0039005516, 1554.4179899022, 1561.7584123466, 1538.3297607506, 1546.5369139863, 1554.6246278518, 1561.8193385793
08-13-17.864671: 1539.0122241692, 1546.9530748201, 1555.4540979314, 1562.2215267138, 1538.0306138536, 1546.0031231174, 1554.4164161423, 1561.7639697673, 1538.3305304867, 1546.53652405  , 1554.6214833423, 1561.8155674085
08-13-17.865671: 1539.0141511603, 1546.9556060175, 1555.4544923776, 1562.2151722116, 1538.0311914014, 1546.0027334502, 1554.4158262233, 1561.7488882028, 1538.3286052071, 1546.5390538844, 1554.6226615708, 1561.8121939333
08-13-17.866671: 1539.0143432945, 1546.9552177732, 1555.4537034854, 1562.2197410818, 1538.0319608386, 1546.0054554224, 1554.417399982 , 1561.7663498684, 1538.3299527141, 1546.5367199692, 1554.6246278518, 1561.8179496069
08-13-17.867671: 1539.0131867223, 1546.9563863131, 1555.4578384438, 1562.2231163179, 1538.0308076237, 1546.0048718703, 1554.4181859018, 1561.7635721146, 1538.3299527141, 1546.5388598668, 1554.626792112 , 1561.8175519267
08-13-17.868671: 1539.01338074  , 1546.9552177732, 1555.4527202575, 1562.2300648084, 1538.0304219649, 1546.0048718703, 1554.4164161423, 1561.7526571118, 1538.3266799323, 1546.5361360159, 1554.6260059812, 1561.815369539 
08-13-17.869671: 1539.0120301518, 1546.9542433568, 1555.4521295517, 1562.2322502962, 1538.0308076237, 1546.0042883186, 1554.4185798228, 1561.755634621 , 1538.3299527141, 1546.5373039229, 1554.6242357484, 1561.8165606369
08-13-17.870671: 1539.0135728741, 1546.9552177732, 1555.4550830852, 1562.2262935949, 1538.0302300762, 1546.0048718703, 1554.4170060617, 1561.7492839083, 1538.3305304867, 1546.5373039229, 1554.6262020333, 1561.8227120854
08-13-17.871671: 1539.01338074  , 1546.9563863131, 1555.4539016704, 1562.2348317416, 1538.0311914014, 1546.0029273333, 1554.4183819015, 1561.7598012131, 1538.328027436 , 1546.5384699294, 1554.6248258256, 1561.8171561866
08-13-17.872671: 1539.012416303 , 1546.9548276258, 1555.4527202575, 1562.2256977331, 1538.0323464982, 1546.0021499001, 1554.4168100623, 1561.7673430342, 1538.3291829787, 1546.5361360159, 1554.6289544561, 1561.8189408984
08-13-17.873671: 1539.0135728741, 1546.9542433568, 1555.4546886387, 1562.2207328834, 1538.0308076237, 1546.0029273333, 1554.4156302243, 1561.7377755554, 1538.3299527141, 1546.5380818944, 1554.6242357484, 1561.8159650877
08-13-17.874671: 1539.0126084368, 1546.9544393819, 1555.4556737932, 1562.230264724 , 1538.0311914014, 1546.0042883186, 1554.4197577438, 1561.7627787495, 1538.3299527141, 1546.53652405  , 1554.6263980855, 1561.8151716694
08-13-17.875671: 1539.0118380181, 1546.9552177732, 1555.4546886387, 1562.217953513 , 1538.0306138536, 1546.0064286438, 1554.417399982 , 1561.7467040673, 1538.3291829787, 1546.5369139863, 1554.6252179292, 1561.8169563767
08-13-17.876671: 1539.0129945883, 1546.9550217479, 1555.4554756077, 1562.2415823588, 1538.0319608386, 1546.0040944351, 1554.4166140631, 1561.7514680511, 1538.328027436 , 1546.5371080035, 1554.6242357484, 1561.8177517367
08-13-17.877671: 1539.012416303 , 1546.9544393819, 1555.4578384438, 1562.2336400056, 1538.0315770605, 1546.0027334502, 1554.4197577438, 1561.7649609903, 1538.3305304867, 1546.53652405  , 1554.6250218774, 1561.8167585068
08-13-17.878671: 1539.0131867223, 1546.9546335038, 1555.4560663161, 1562.2380090662, 1538.0315770605, 1546.0052615386, 1554.4166140631, 1561.7449195206, 1538.3313002234, 1546.5371080035, 1554.6260059812, 1561.8121939333
08-13-17.879671: 1539.0114537508, 1546.9575529517, 1555.4525239969, 1562.2415823588, 1538.0323464982, 1546.0048718703, 1554.4183819015, 1561.7560322696, 1538.3286052071, 1546.5361360159, 1554.6269881643, 1561.8159650877
08-13-17.880671: 1539.0137650082, 1546.9542433568, 1555.4572477341, 1562.226889457 , 1538.0288830943, 1546.0052615386, 1554.4158262233, 1561.7740896118, 1538.3291829787, 1546.5373039229, 1554.6244318001, 1561.8223163427
08-13-17.881671: 1539.0116458844, 1546.9542433568, 1555.4529165181, 1562.2264915686, 1538.0319608386, 1546.0050676548, 1554.4152363048, 1561.7498794067, 1538.3286052071, 1546.5353580463, 1554.6250218774, 1561.815369539 
