13-46-49.219427: 1540.3043547422, 1550.372872295 , 1560.512462165 , 1540.5008873664, 1550.5395108698, 1560.1331332206, 1540.7111813044, 1550.4894375321, 1560.3585301361
13-46-49.220427: 1540.3030037741, 1550.3711117349, 1560.512462165 , 1540.4999229514, 1550.5340330447, 1560.1301638306, 1540.7111813044, 1550.4898275525, 1560.3597170767
13-46-49.221427: 1540.3053207992, 1550.3711117349, 1560.512462165 , 1540.5003079623, 1550.535011976 , 1560.1309555377, 1540.7104091842, 1550.4898275525, 1560.3583306993
13-46-49.222427: 1540.3035830297, 1550.3724804219, 1560.5110755161, 1540.4999229514, 1550.5389238898, 1560.1317472457, 1540.7104091842, 1550.491198361 , 1560.3585301361
13-46-49.223427: 1540.3047415422, 1550.3705248824, 1560.5130567205, 1540.5003079623, 1550.5361859305, 1560.1311529807, 1540.7111813044, 1550.4906114176, 1560.3585301361
13-46-49.224427: 1540.3057057128, 1550.3722854412, 1560.512462165 , 1540.5008873664, 1550.5408798541, 1560.1323415112, 1540.7117608671, 1550.4933492159, 1560.3599165139
13-46-49.225427: 1540.3035830297, 1550.3716985878, 1560.5130567205, 1540.5008873664, 1550.5399009153, 1560.1297670094, 1540.7111813044, 1550.4910014385, 1560.357341261 
13-46-49.226427: 1540.3030037741, 1550.3711117349, 1560.5126597046, 1540.4993435481, 1550.5357939748, 1560.1303612733, 1540.7104091842, 1550.4896325423, 1560.3589251373
13-46-49.227427: 1540.3035830297, 1550.3709167545, 1560.5110755161, 1540.5008873664, 1550.5371629526, 1560.1317472457, 1540.7111813044, 1550.4880686386, 1560.3593220751
13-46-49.228427: 1540.3039698293, 1550.3699380304, 1560.5114705946, 1540.501079872 , 1550.5338380234, 1560.1305587162, 1540.7098296225, 1550.4902194849, 1560.3583306993
13-46-49.229427: 1540.3049339989, 1550.372872295 , 1560.5118676099, 1540.4999229514, 1550.5381418879, 1560.1301638306, 1540.7098296225, 1550.4913933716, 1560.3589251373
13-46-49.230427: 1540.3049339989, 1550.3711117349, 1560.5116700706, 1540.5001154569, 1550.5377499312, 1560.1303612733, 1540.7098296225, 1550.4888505901, 1560.3599165139
13-46-49.231427: 1540.303775486 , 1550.3705248824, 1560.5114705946, 1540.4999229514, 1550.5354020193, 1560.1301638306, 1540.7092500613, 1550.4884586583, 1560.3579356983
13-46-49.232427: 1540.3043547422, 1550.3718935684, 1560.5106785012, 1540.5022386817, 1550.5410748772, 1560.1301638306, 1540.7123404302, 1550.4902194849, 1560.357341261 
13-46-49.233427: 1540.3053207992, 1550.3713067153, 1560.512462165 , 1540.501079872 , 1550.535011976 , 1560.1311529807, 1540.7117608671, 1550.4900244746, 1560.3585301361
13-46-49.234427: 1540.3043547422, 1550.3711117349, 1560.5120651494, 1540.5005004679, 1550.5367729084, 1560.1293721242, 1540.7117608671, 1550.4904144953, 1560.3579356983
13-46-49.235427: 1540.3035830297, 1550.3722854412, 1560.5114705946, 1540.5001154569, 1550.5326640725, 1560.1307580948, 1540.7123404302, 1550.4900244746, 1560.3585301361
13-46-49.236427: 1540.3039698293, 1550.3732622567, 1560.5112730553, 1540.5016592767, 1550.5375549089, 1560.1321440679, 1540.7111813044, 1550.4892406102, 1560.3589251373
13-46-49.237427: 1540.3028113179, 1550.3724804219, 1560.512462165 , 1540.5014667708, 1550.5381418879, 1560.1309555377, 1540.7098296225, 1550.4900244746, 1560.3603115158
13-46-49.238427: 1540.3049339989, 1550.3715036073, 1560.5112730553, 1540.5005004679, 1550.5381418879, 1560.1307580948, 1540.7098296225, 1550.4898275525, 1560.3579356983
13-46-49.239427: 1540.3030037741, 1550.3736541302, 1560.5112730553, 1540.5014667708, 1550.5397058925, 1560.1299644521, 1540.7111813044, 1550.4927622709, 1560.3593220751
13-46-49.240427: 1540.3039698293, 1550.3726773142, 1560.5118676099, 1540.5014667708, 1550.5381418879, 1560.1309555377, 1540.7123404302, 1550.4894375321, 1560.3563498877
13-46-49.241427: 1540.3043547422, 1550.3715036073, 1560.5118676099, 1540.5022386817, 1550.534620021 , 1560.1309555377, 1540.7098296225, 1550.4906114176, 1560.3609059554
13-46-49.242427: 1540.3020396069, 1550.3718935684, 1560.5098864085, 1540.4997285588, 1550.5381418879, 1560.1315498026, 1540.7098296225, 1550.49256726  , 1560.3595195759
13-46-49.243427: 1540.3028113179, 1550.3718935684, 1560.5114705946, 1540.5001154569, 1550.5365759744, 1560.1313523595, 1540.7098296225, 1550.4913933716, 1560.3593220751
13-46-49.244427: 1540.3024245189, 1550.3726773142, 1560.5118676099, 1540.4999229514, 1550.5402928731, 1560.1315498026, 1540.7092500613, 1550.4904144953, 1560.3601140148
13-46-49.245427: 1540.3039698293, 1550.3718935684, 1560.5114705946, 1540.5006948608, 1550.5381418879, 1560.1299644521, 1540.7117608671, 1550.4900244746, 1560.3575387613
13-46-49.246427: 1540.3033905734, 1550.3738491113, 1560.5118676099, 1540.4991491556, 1550.5355989531, 1560.1301638306, 1540.7098296225, 1550.4931542048, 1560.3589251373
13-46-49.247427: 1540.3026188618, 1550.3720904605, 1560.5104809621, 1540.5006948608, 1550.535011976 , 1560.1301638306, 1540.7092500613, 1550.4904144953, 1560.3595195759
13-46-49.248427: 1540.3030037741, 1550.3715036073, 1560.5126597046, 1540.5008873664, 1550.5381418879, 1560.1313523595, 1540.7123404302, 1550.4904144953, 1560.3567468241
13-46-49.249427: 1540.3049339989, 1550.3711117349, 1560.5100839474, 1540.5018536698, 1550.5367729084, 1560.1301638306, 1540.7092500613, 1550.487871717 , 1560.3585301361
13-46-49.250427: 1540.3043547422, 1550.3718935684, 1560.5110755161, 1540.5018536698, 1550.5365759744, 1560.1297670094, 1540.7098296225, 1550.4902194849, 1560.3585301361
13-46-49.251427: 1540.3043547422, 1550.3720904605, 1560.5126597046, 1540.5001154569, 1550.5375549089, 1560.1313523595, 1540.7111813044, 1550.4892406102, 1560.3579356983
13-46-49.252427: 1540.3049339989, 1550.3713067153, 1560.5104809621, 1540.5012742651, 1550.5387288672, 1560.1323415112, 1540.7111813044, 1550.4896325423, 1560.3591245743
13-46-49.253427: 1540.3047415422, 1550.3720904605, 1560.5130567205, 1540.5005004679, 1550.5348169545, 1560.1295695668, 1540.7104091842, 1550.4896325423, 1560.3589251373
13-46-49.254427: 1540.3030037741, 1550.3713067153, 1560.5110755161, 1540.5008873664, 1550.5367729084, 1560.1301638306, 1540.7104091842, 1550.4890456001, 1560.3577362616
13-46-49.255427: 1540.3030037741, 1550.3720904605, 1560.5118676099, 1540.5001154569, 1550.5420538174, 1560.1317472457, 1540.7117608671, 1550.4894375321, 1560.3571437607
13-46-49.256427: 1540.3026188618, 1550.3730672758, 1560.5116700706, 1540.501079872 , 1550.5383369103, 1560.1311529807, 1540.7111813044, 1550.4904144953, 1560.3595195759
13-46-49.257427: 1540.3043547422, 1550.3703299022, 1560.5116700706, 1540.5012742651, 1550.5365759744, 1560.1319466246, 1540.7111813044, 1550.4886555801, 1560.3589251373
13-46-49.258427: 1540.3014603524, 1550.3726773142, 1560.5128572442, 1540.4997285588, 1550.5379449535, 1560.1311529807, 1540.7098296225, 1550.4896325423, 1560.3583306993
13-46-49.259427: 1540.3030037741, 1550.3726773142, 1560.5118676099, 1540.5008873664, 1550.5359889966, 1560.1307580948, 1540.7098296225, 1550.4902194849, 1560.3599165139
13-46-49.260427: 1540.3033905734, 1550.3732622567, 1560.5136512765, 1540.4997285588, 1550.5377499312, 1560.1321440679, 1540.7111813044, 1550.4894375321, 1560.3609059554
13-46-49.261426: 1540.3043547422, 1550.3693511788, 1560.5088948414, 1540.5005004679, 1550.5352069977, 1560.1305587162, 1540.7117608671, 1550.4902194849, 1560.3575387613
13-46-49.262427: 1540.3033905734, 1550.3711117349, 1560.5102814864, 1540.5012742651, 1550.5379449535, 1560.1291727459, 1540.7123404302, 1550.4917833929, 1560.356549324 
13-46-49.263427: 1540.3028113179, 1550.3732622567, 1560.5128572442, 1540.501079872 , 1550.5361859305, 1560.1311529807, 1540.7104091842, 1550.491198361 , 1560.3603115158
13-46-49.264426: 1540.3030037741, 1550.3716985878, 1560.5114705946, 1540.501079872 , 1550.5361859305, 1560.1307580948, 1540.7117608671, 1550.4880686386, 1560.3585301361
13-46-49.265426: 1540.3035830297, 1550.3711117349, 1560.5108760403, 1540.5008873664, 1550.5338380234, 1560.1291727459, 1540.7098296225, 1550.4896325423, 1560.3589251373
13-46-49.266427: 1540.3030037741, 1550.3726773142, 1560.5108760403, 1540.4993435481, 1550.5397058925, 1560.1311529807, 1540.7098296225, 1550.4904144953, 1560.3583306993
13-46-49.267426: 1540.3033905734, 1550.3713067153, 1560.5118676099, 1540.5014667708, 1550.5355989531, 1560.1295695668, 1540.7117608671, 1550.491198361 , 1560.3603115158
13-46-49.268426: 1540.303775486 , 1550.3732622567, 1560.5118676099, 1540.5012742651, 1550.5393158471, 1560.1315498026, 1540.7111813044, 1550.4910014385, 1560.3603115158
13-46-49.269426: 1540.3039698293, 1550.3732622567, 1560.5110755161, 1540.501079872 , 1550.5408798541, 1560.1295695668, 1540.7111813044, 1550.4939361614, 1560.3569443243
13-46-49.270427: 1540.3039698293, 1550.372872295 , 1560.5116700706, 1540.5016592767, 1550.5381418879, 1560.1311529807, 1540.7098296225, 1550.491198361 , 1560.3585301361
13-46-49.271426: 1540.3033905734, 1550.3701349221, 1560.5100839474, 1540.5001154569, 1550.5336430021, 1560.1303612733, 1540.7111813044, 1550.4888505901, 1560.3575387613
13-46-49.272426: 1540.3045490856, 1550.3711117349, 1560.5114705946, 1540.5006948608, 1550.5354020193, 1560.1285784829, 1540.7111813044, 1550.4910014385, 1560.3589251373
13-46-49.273427: 1540.3016528082, 1550.3711117349, 1560.5136512765, 1540.5001154569, 1550.5363809524, 1560.1309555377, 1540.7111813044, 1550.4915883822, 1560.3603115158
13-46-49.274426: 1540.303775486 , 1550.3711117349, 1560.5130567205, 1540.5012742651, 1550.5379449535, 1560.1297670094, 1540.7098296225, 1550.4904144953, 1560.357341261 
13-46-49.275426: 1540.3053207992, 1550.3720904605, 1560.512462165 , 1540.501079872 , 1550.5355989531, 1560.1301638306, 1540.7104091842, 1550.491198361 , 1560.3583306993
13-46-49.276426: 1540.3057057128, 1550.3726773142, 1560.5130567205, 1540.5003079623, 1550.5393158471, 1560.1311529807, 1540.7111813044, 1550.4915883822, 1560.3585301361
13-46-49.277426: 1540.303775486 , 1550.3726773142, 1560.5116700706, 1540.5006948608, 1550.5359889966, 1560.1303612733, 1540.7104091842, 1550.4896325423, 1560.3593220751
